url,model,price,year,Kms,fuel
https://www.marutisuzukitruevalue.com/buy-car/swift-dzire-in-bhuj-2017/AXN6q9HLB-exKhxmpRKr,Swift Dzire ZDI ,₹5 99 000,2017,65 374 km,Diesel
url,model,price,year,Kms,fuel
https://www.marutisuzukitruevalue.com/buy-car/swift-dzire-in-bhuj-2017/AXN6q9HLB-exKhxmpRKr,Swift Dzire ZDI ,₹5 99 000,2017,65 374 km,Diesel
https://www.marutisuzukitruevalue.com/buy-car/alto-800-in-bhuj-2016/AXO4ruplNiwKO4z0JLIT,Alto 800 LXI ,₹2 31 000,2016,99 169 km,Petrol
https://www.marutisuzukitruevalue.com/buy-car/wagon-r-in-bhuj-2016/AXQ1We1nNiwKO4z0JOoA,Wagon R VXI ,₹3 11 000,2016,35 184 km,Petrol
https://www.marutisuzukitruevalue.com/buy-car/swift-dzire-in-bhuj-2016/AXOFuMcqNiwKO4z0JJpm,Swift Dzire VXI ,₹5 11 000,2016,39 966 km,Petrol
https://www.marutisuzukitruevalue.com/buy-car/swift-in-bhuj-2015/AW_X2Ng7_GN9ixZOPvXD,Swift VDI ,₹4 51 000,2015,51 437 km,Diesel
https://www.marutisuzukitruevalue.com/buy-car/ciaz-in-bhuj-2014/AXL12XMfNiwKO4z0JGGb,Ciaz ZDI PLUS ,₹4 31 000,2014,96 113 km,Diesel
https://www.marutisuzukitruevalue.com/buy-car/wagon-r-in-bhuj-2010/AXQ1WewwB-exKhxmpTc3,Wagon R LXI ,₹1 84 000,2010,84 033 km,Petrol
https://www.marutisuzukitruevalue.com/buy-car/swift-in-bhuj-2008/AXQ1WexcNiwKO4z0JOn9,Swift VDI ,₹88 000,2008,1 05 662 km,Diesel
https://www.marutisuzukitruevalue.com/buy-car/wagon-r-in-bhuj-2007/AXQ1WeuoB-exKhxmpTc1,Wagon R LXI ,₹1 08 000,2007,83 195 km,Petrol
https://www.marutisuzukitruevalue.com/buy-car/swift-dzire-in-jamnagar-2017/AWxbQ5C9Z8C6aGE-JBRZ,Swift Dzire VXI ,₹6 50 000,2017,43 043 km,Petrol
https://www.marutisuzukitruevalue.com/buy-car/omni-in-jamnagar-2017/AXPYAt9eNiwKO4z0JL8c,Omni 8 SEATER ,₹1 85 000,2017,65 419 km,Petrol
https://www.marutisuzukitruevalue.com/buy-car/wagon-r-in-jamnagar-2010/AXPYOc8SB-exKhxmpSD1,Wagon R LXI ,₹1 10 000,2010,94 469 km,Petrol
